epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2687.15,1.1678,0.72448,1.2684,0.88399,0.75274,0.86449,0.48042,1.56523,0.89927,1.71539,0.0011882,0.0011882,0.0011882
43,2737.16,1.14868,0.71482,1.25851,0.85979,0.77567,0.86677,0.47825,1.5996,0.92099,1.73412,0.0011684,0.0011684,0.0011684
44,2788.11,1.15867,0.708,1.26876,0.86943,0.75573,0.86095,0.48473,1.5815,0.92679,1.72739,0.0011486,0.0011486,0.0011486
45,2862.34,1.13544,0.69325,1.25331,0.86571,0.78465,0.88131,0.49055,1.56708,0.87289,1.71136,0.0011288,0.0011288,0.0011288
46,2911.29,1.11237,0.67404,1.22884,0.82281,0.7657,0.84794,0.467,1.60152,0.93614,1.75145,0.001109,0.001109,0.001109
47,2962.17,1.11573,0.66979,1.234,0.86293,0.78457,0.88058,0.4941,1.55647,0.89953,1.70422,0.0010892,0.0010892,0.0010892
48,3012.88,1.09169,0.66104,1.21244,0.86311,0.78577,0.86404,0.46542,1.63775,0.88234,1.81631,0.0010694,0.0010694,0.0010694
49,3095.46,1.08109,0.65755,1.22086,0.85631,0.78764,0.87196,0.47758,1.6038,0.89483,1.76029,0.0010496,0.0010496,0.0010496
50,3178.57,1.07691,0.65237,1.21409,0.88937,0.76944,0.87434,0.4886,1.57635,0.86025,1.73793,0.0010298,0.0010298,0.0010298
51,3228.52,1.05149,0.62973,1.19804,0.85584,0.79909,0.87335,0.48394,1.58663,0.8611,1.78215,0.00101,0.00101,0.00101
52,3279.54,1.06076,0.63371,1.20929,0.87888,0.78365,0.88046,0.48502,1.61114,0.87641,1.79267,0.0009902,0.0009902,0.0009902
53,3353.15,1.0357,0.62342,1.18884,0.90412,0.76151,0.87443,0.48775,1.59061,0.91458,1.77281,0.0009704,0.0009704,0.0009704
54,3401.44,1.01509,0.60416,1.17955,0.82129,0.80259,0.8629,0.47493,1.62251,0.91798,1.81229,0.0009506,0.0009506,0.0009506
55,3453.09,1.04073,0.61827,1.18618,0.84147,0.8016,0.87309,0.47085,1.63571,0.91741,1.8283,0.0009308,0.0009308,0.0009308
56,3505.17,1.00994,0.59911,1.17476,0.89117,0.77563,0.87405,0.48221,1.59385,0.89567,1.79998,0.000911,0.000911,0.000911
57,3589.37,1.02138,0.60475,1.18189,0.90276,0.76824,0.87059,0.4842,1.57726,0.86276,1.79013,0.0008912,0.0008912,0.0008912
58,3638.48,0.99438,0.59347,1.16933,0.84892,0.77667,0.86021,0.46948,1.63269,0.90573,1.83108,0.0008714,0.0008714,0.0008714
59,3689.3,0.96757,0.58566,1.15476,0.87916,0.78764,0.87904,0.48825,1.59497,0.85187,1.8183,0.0008516,0.0008516,0.0008516
60,3741.18,0.96478,0.57879,1.14424,0.88019,0.77667,0.88343,0.50193,1.55914,0.8596,1.78633,0.0008318,0.0008318,0.0008318
61,3815.2,0.96603,0.5678,1.14785,0.82818,0.82154,0.87705,0.4966,1.56019,0.87318,1.77929,0.000812,0.000812,0.000812
62,3889.03,0.948,0.5556,1.12807,0.87647,0.77104,0.87988,0.48774,1.60491,0.86611,1.83619,0.0007922,0.0007922,0.0007922
63,3939.76,0.93747,0.54495,1.12761,0.88608,0.79163,0.88887,0.49982,1.57098,0.83846,1.78543,0.0007724,0.0007724,0.0007724
64,3990.47,0.91707,0.54856,1.10845,0.88454,0.76382,0.87414,0.49321,1.57084,0.89234,1.81236,0.0007526,0.0007526,0.0007526
65,4066.67,0.91606,0.54117,1.10797,0.87541,0.79163,0.89134,0.50135,1.57095,0.86387,1.78827,0.0007328,0.0007328,0.0007328
66,4142.8,0.91679,0.54052,1.11829,0.8695,0.7905,0.87856,0.48881,1.57941,0.86448,1.82692,0.000713,0.000713,0.000713
67,4191.25,0.89787,0.51579,1.10625,0.88687,0.80501,0.88906,0.48874,1.61846,0.8253,1.89084,0.0006932,0.0006932,0.0006932
68,4240.22,0.87697,0.51345,1.08968,0.89034,0.78166,0.88399,0.50834,1.56401,0.90202,1.78767,0.0006734,0.0006734,0.0006734
69,4315.55,0.87634,0.51356,1.09137,0.87066,0.79761,0.88608,0.5058,1.54799,0.89597,1.78045,0.0006536,0.0006536,0.0006536
70,4363.13,0.86525,0.50122,1.08303,0.87138,0.79703,0.88413,0.50096,1.59747,0.86928,1.85096,0.0006338,0.0006338,0.0006338
71,4412.78,0.8661,0.50779,1.09398,0.88031,0.79195,0.88641,0.49438,1.59749,0.8824,1.86003,0.000614,0.000614,0.000614
72,4463.51,0.85006,0.50211,1.07593,0.88755,0.80267,0.88715,0.5008,1.57892,0.86567,1.83903,0.0005942,0.0005942,0.0005942
73,4545.06,0.84823,0.49763,1.07213,0.89442,0.78166,0.88161,0.5061,1.56595,0.85785,1.81775,0.0005744,0.0005744,0.0005744
74,4592.99,0.83208,0.48853,1.06896,0.87898,0.79657,0.88161,0.4982,1.58486,0.8579,1.8581,0.0005546,0.0005546,0.0005546
75,4642.7,0.82752,0.48345,1.05598,0.8836,0.80359,0.88172,0.49162,1.59101,0.82801,1.85986,0.0005348,0.0005348,0.0005348
76,4692.54,0.81046,0.48288,1.05821,0.87871,0.78732,0.88622,0.51336,1.54581,0.8437,1.79858,0.000515,0.000515,0.000515
77,4767.37,0.80494,0.46998,1.04959,0.8829,0.81356,0.89071,0.50572,1.57366,0.84561,1.8463,0.0004952,0.0004952,0.0004952
78,4839.61,0.80021,0.47432,1.0379,0.88658,0.81834,0.90208,0.51108,1.57447,0.83114,1.85915,0.0004754,0.0004754,0.0004754
79,4889.4,0.78975,0.46534,1.04993,0.87279,0.80714,0.89554,0.51282,1.56553,0.8511,1.85077,0.0004556,0.0004556,0.0004556
80,4939.39,0.77576,0.45848,1.03151,0.88928,0.78963,0.89214,0.5028,1.58672,0.86691,1.88166,0.0004358,0.0004358,0.0004358
81,5018.92,0.79052,0.45295,1.04417,0.88841,0.79379,0.89036,0.50916,1.57385,0.85705,1.8682,0.000416,0.000416,0.000416
82,5095.54,0.77338,0.44501,1.04084,0.88131,0.80857,0.89315,0.51024,1.57964,0.83787,1.8936,0.0003962,0.0003962,0.0003962
83,5145.32,0.7567,0.44308,1.02944,0.91168,0.79246,0.89089,0.5018,1.59127,0.84419,1.91055,0.0003764,0.0003764,0.0003764
84,5196.97,0.75128,0.44189,1.02477,0.90801,0.7996,0.89535,0.51811,1.55912,0.89899,1.85266,0.0003566,0.0003566,0.0003566
85,5276.45,0.7478,0.43929,1.02065,0.90773,0.79163,0.89768,0.51076,1.5719,0.81696,1.88481,0.0003368,0.0003368,0.0003368
86,5346.1,0.73179,0.43789,1.01391,0.90633,0.80066,0.90241,0.51227,1.57979,0.8432,1.89637,0.000317,0.000317,0.000317
87,5395.85,0.73833,0.43985,1.02348,0.89361,0.81232,0.89723,0.51447,1.56951,0.87337,1.89341,0.0002972,0.0002972,0.0002972
88,5446.39,0.71341,0.42498,1.00917,0.89911,0.80758,0.89545,0.51033,1.58688,0.8568,1.92392,0.0002774,0.0002774,0.0002774
89,5524.91,0.71483,0.42504,1.00524,0.89116,0.80658,0.89728,0.51927,1.58177,0.86221,1.91572,0.0002576,0.0002576,0.0002576
